Название,Номер,Степень,Форма обучения,Бюджет или нет,обязательные экзамены,Экзамены на выбор,Экзамены после СПО,Основная информация,Мин. балл бюджет очка,Мин. балл бюджет заочка,Мин. балл бюджет очка-заочка,Мин. балл контракт очка,Мин. балл контракт заочка,Мин. балл контракт очка-заочка,ссылка
"Радиотехнические средства передачи, приема и обработки сигналов",11.03.01,Бакалавриат (3++),Очная - 4 года Заочная - 4 года 11 месяцев,Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика , ","Информационные системы в радиоаппаратостроении ,  Физические основы радиоэлектронной техники ,  Русский язык , ","Область профессиональной деятельности выпускников, освоивших программу бакалавриата «Радиотехнические средства передачи, приема и обработки сигналов» по направлению подготовки  «Радиотехника», включает проектирование, разработку и эксплуатацию средств радиосвязи, используемых для реализации возможностей современных инфокоммуникационных технологий.В рамках освоения образовательной программы выпускники готовятся к решению задач научно-исследовательской деятельности.Студенты изучают программирование на алгоритмических языках высокого уровня, а также осваивают новейшие прикладные пакеты программ для моделирования, проектирования и исследования радиотехнических устройств и систем.Для формирования таких компетенций в образовательную программу введены следующие дисциплины:Последующее изучение студентами бакалавриата специальных дисциплин (радиопередающие и радиоприемные устройства, усилители, источники питания, микропроцессорные устройства, антенны, защита информации в каналах связи и др.) обеспечивают им все необходимые знания, умения и навыки для успешной разработки устройств и приборов радиотехнического назначения.Наиболее значимыми дисциплинами образовательной программы, предназначенными для формирования общепрофессиональных и профессиональных компетенций, являются:Реализацию образовательной программы обеспечивает коллектив профессорско-преподавательского состава кафедры радиотехники, который включает 5 профессоров, являющихся докторами наук, 7 доцентов, кандидатов наук.Кроме этого к образовательной деятельности периодически привлекаются ведущие ученые и специалисты",0,125,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,144,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/rsppos-3%2B%2B/
Проектирование и технология радиоэлектронных средств,11.03.03,Бакалавриат (3++),Очная 4 года Заочная 4 г. 11 мес.,Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика , ","Информационные системы в радиоаппаратостроении ,  Физические основы радиоэлектронной техники ,  Русский язык , ","Об образовательной программе. На указанном направлении подготовки реализовано обучения на военной кафедре, которая является профильной (радиоэлектронного профиля), ребята с категорией годности «А» или «Б», могут по желанию пройти обучения на военной кафедре (начиная со второго курса, они один день в неделю проходят обучение по военным дисциплинам), после окончания им присваивается звание офицера запаса (лейтенант).Цель изучения дисциплины Изучение базовых понятий в области цифровой схемотехники и обработки сигналов, подготовка квалифицированного проектировщика, обладающего достаточным объемом знаний в области цифровой схемотехники, умеющего разрабатывать цифровые устройства с использованием языков описания аппаратуры Структура дисциплины Обучение основным понятиям, моделям и параметрам логических элементов, получение представления об основах цифровой обработки сигнала и их области применения, получение знаний в области проектирования и работы основных типов функциональных узлов цифровой схемотехники, получение навыков в области проектирования цифровых устройств с использованием современных программных комплексов Форма промежуточной аттестации Экзамен. Цель изучения дисциплины Изучение типовых схемотехнических решений, методов расчета и автоматизированного проектирования электронных узлов и блоков современной электронновычислительной аппаратуры Структура дисциплины Реализация технологии обучения, нацеленной на индивидуализацию труда студента при выполнении лабораторных работ, при изучении тем, выносимых на самостоятельную работу; использование примеров, фактов, иллюстрирующих достижения и проблемы мировой и отечественной электроники, электромеханики для усиления интереса к изучаемой дисциплине, выбранной специальности; овладение студентами современной научной и технической терминологией в данной области; широкое использование натурных образцов приборов, узлов, элементов Форма промежуточной аттестации Экзамен. Создание управляющей программы для 3D принтера Форма промежуточной аттестации Экзамен. Цель изучения дисциплины Дать общее представление о современных средствах автоматизированного проектирования радиоэлектронных устройств (РЭС), познакомить с основными принципами и методами проектирования и предоставить студентам возможность самостоятельно решить ряд конкретных проектных задач Структура дисциплины Определение целей, способов, задач и процессов автоматизированного компьютерного проектирования и моделирования, изучение математических основ компьютерного моделирования компонентов РЭС различного уровня сложности и электромагнитных полей, ознакомление с алгоритмами компьютерного анализа и оптимизации аналоговых и цифровых устройств, ознакомление с современными пакетами прикладных программ для автоматизированного компьютерного проектирования РЭС и методами их использования Форма промежуточной аттестации Экзамен. Использование программ для автоматизированного конструкторского проектирования РЭС для проектирования узлов на печатных платах Форма промежуточной аттестации Экзамен, курсовой проект. Уже с третьего курса у студентов есть возможность устраиваться работать по специальности по рекомендации и по представлению кафедры на профильные предприятия, без отрыва от учебы.",133,145,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,128,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/ptrs-3pp/
Микроэлектроника и твердотельная электроника,11.03.04,Бакалавриат (3++),"Очная - 4 года, заочная - 4 года 11 месяцев",Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика , ","Информационные системы в радиоаппаратостроении ,  Физические основы радиоэлектронной техники ,  Русский язык , ","Об образовательной программе. Перспективы после обучения.В процессе обучения студенты осваивают компетенции в области профессиональной деятельности профессионального стандарта  технологии производства изделий микро- и наноэлектроники по принципу ""система в корпусе"".Направление подготовки входит в перечень специальностей и направлений подготовки высшего образования, соответствующих приоритетным направлениям модернизации и технологического развития российской экономики, утвержденный распоряжением Правительства РФ от 6 января 2015 г. № 7-р.Во время обучения студенты проходят практику на крупнейших предприятиях Воронежа, производящих электронную технику, а после имеют возможность трудоустроиться на тех же предприятиях. Особое место в структуре отрасли занимают организации микроэлектронной промышленности, представленные 10 организациями, осуществляющими серийное производство микроэлектроники, и 65 дизайн-центрами, осуществляющими работы по проектированию и созданию микроэлектронной продукции, обладающими необходимыми кадрами, оборудованием и технологиями.",133,120,Нет информации о минимальном количестве баллов,121,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/mete-3%2B%2B/
Приборостроение,12.03.01,Бакалавриат (3++),Очная 4 года,Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика , ","Информационные системы в радиоаппаратостроении ,  Физические основы радиоэлектронной техники ,  Русский язык , ","Об образовательной программе. На указанном направлении подготовки реализовано обучения на военной кафедре, которая является профильной (радиоэлектронного профиля), ребята с категорией годности «А» или «Б», могут по желанию пройти обучения на военной кафедре (начиная со второго курса, они один день в неделю проходят обучение по военным дисциплинам), после окончания им присваивается звание офицера запаса (лейтенант).Цель изучения дисциплины Изучение базовых понятий в области цифровой схемотехники и обработки сигналов, подготовка квалифицированного проектировщика, обладающего достаточным объемом знаний в области цифровой схемотехники, умеющего разрабатывать цифровые устройства с использованием языков описания аппаратуры Структура дисциплины Обучение основным понятиям, моделям и параметрам логических элементов, получение представления об основах цифровой обработки сигнала и их области применения, получение знаний в области проектирования и работы основных типов функциональных узлов цифровой схемотехники, получение навыков в области проектирования цифровых устройств с использованием современных программных комплексов Форма промежуточной аттестации Зачет с оценкой. Создание управляющей программы для 3D принтера Форма промежуточной аттестации Экзамен. Уже с третьего курса у студентов есть возможность устраиваться работать по специальности по рекомендации и по представлению кафедры на профильные предприятия, без отрыва от учебы.",135,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,205,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/ps-3%2B%2B/
Биотехнические и медицинские аппараты и системы,12.03.04,Бакалавриат (3++),"Очная - 4 года, заочная - 4 года 11 месяцев",Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика ,  Биология , ","Информационные системы в радиоаппаратостроении ,  Физические основы радиоэлектронной техники ,  Русский язык , ","- руководство подразделением обеспечения производства в области создания и интеграции биотехнических систем и технологий, в том числе медицинского, экологического и биометрического назначения (анализ состояния производства в области создания биотехнических систем и технологий; текущее и перспективное планирование производства в области создания и интеграции биотехнических систем и технологий; функциональное руководство работниками подразделения обеспечения производства в области создания и интеграции биотехнических систем и технологий; управление производством в области создания и интеграции биотехнических систем и технологий).Дисциплины обязательной части направления Информатика, Информационные технологии, Объектно-ориентированное программирование, Основы биологии и физиологии, Конструкционные и биоматериалы, Биофизические основы живых систем, Системный анализ, Технические методы диагностический исследований и лечебных воздействий, Компьютерные технологии в медико-биологической практике, Организация системы здравоохранения, Узлы и элементы биотехнических систем, Метрология, стандартизация и технические измерения, Автоматизация обработки биомедицинской информации, Электроника и микропроцессорная техника, Методы оптимизации и принятия решений, Биотехнические системы медицинского назначения, Основы моделирования биологических процессов и систем, Управление в биотехнических системах, Медицинские информационные систем.Дисциплины направленности (профиля)К реализации образовательной программы привлекаются специалисты-практики из следующих организаций: департамент здравоохранения Воронежской области, городская клиническая больница скорой медицинской помощи № 10,",140,141,Нет информации о минимальном количестве баллов,152,135,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/bmas-3%2B%2B/
Менеджмент и управление качеством в здравоохранении,12.03.04,Бакалавриат (3++),Очная/Заочная - 4 года/4 года 11 месяцев,Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика ,  Биология , ","Информационные системы в радиоаппаратостроении ,  Физические основы радиоэлектронной техники ,  Русский язык , ","- организация самостоятельной деятельности и осуществление управления процессами постпродажного обслуживания и сервиса в рамках структурного подразделения (службы, отдела) (руководство проведением типовых работ и контроль выполнения стандартных процедур по постпродажному обслуживанию и сервису; управление договорной и рекламационной работой в части организации и документирования процессов постпродажного обслуживания и сервиса);- организация и координация совместной деятельности сотрудников по обеспечению постпродажного обслуживания и сервиса на уровне структурного подразделения (службы, отдела) (организация процессов анализа требований к постпродажному обслуживанию и сервису и управление взаимоотношениями с потребителями продукции; разработка организационных схем, стандартов и процедур и выполнение руководства процессами постпродажного обслуживания и сервиса; организация и координация взаимодействия с подразделениями организации и внешними контрагентами по постпродажному обслуживанию и сервису);- организация и управление процессами постпродажного обслуживания и сервиса на уровне крупной организации (организация процессов анализа логистической поддержки жизненного цикла промышленной продукции; планирование технического обслуживания и ремонта промышленной продукции; управление интегрированными процедурами материально-технического обеспечения промышленной продукции; организация мероприятий по обеспечению электронной эксплуатационной и ремонтной документацией; организация исследований и осуществление разработок новых методов, моделей и механизмов интегрированной логистической поддержки жизненного цикла промышленной продукции; руководство проектами реинжиниринга бизнес-процессов на постпроизводственных стадиях жизненного цикла промышленной продукции с использованием современных информационных технологий).Дисциплины обязательной части направления Информатика, Информационные технологии, Объектно-ориентированное программирование, Основы биологии и физиологии, Конструкционные и биоматериалы, Биофизические основы живых систем, Системный анализ, Технические методы диагностический исследований и лечебных воздействий, Компьютерные технологии в медико-биологической практике, Организация системы здравоохранения, Узлы и элементы биотехнических систем, Метрология, стандартизация и технические измерения, Автоматизация обработки биомедицинской информации, Электроника и микропроцессорная техника, Методы оптимизации и принятия решений, Биотехнические системы медицинского назначения, Основы моделирования биологических процессов и систем, Управление в биотехнических системах, Медицинские информационные системы.Дисциплины направленности (профиля)К реализации образовательной программы привлекаются специалисты-практики из следующих организаций: департамент здравоохранения Воронежской области, городская клиническая больница скорой медицинской помощи № 10,",Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/mukz-3%2B%2B/
Проектирование и строительство городских систем энергоснабжения,13.03.01,Бакалавриат (3++),Очная - 4 года Заочная - 4 года 11 месяцев,Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика ,  Химия , ","Теоретические основы энергетики ,  Энергетические установки и оборудование ,  Русский язык , ","Объекты образовательной деятельности профиля: передача и распределение электроэнергии, преобразование и применение электрической энергии, управление потоками энергии, разработка и изготовление элементов, устройств и систем, технология монтажа линий электропередачи, организация строительства, оборудование теплоэлектростанций, обоснование проектов энергосетей.В процессе обучения студенты изучат дисциплины профессионального цикла:Выпускники занимаются производственными и технологическими процессами, диагностикой основного и вспомогательного оборудования, решают нестандартные инженерные задачи, участвуют во внедрении новой техники и технологии, занимаются модернизацией действующего оборудования.Образовательная программа предусматривает прохождение студентами учебной, производственной и преддипломной практики.Значительное количество долгосрочных договоров для прохождения всех видов практик заключено между университетом и проектными организациями, компаниями сферы строительства и ЖКХ, крупными промышленными предприятиями.Среди них: МКП «Воронежтеплосеть»,",128,130,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,130,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/psgse-3%2B%2B/
Промышленная теплоэнергетика,13.03.01,Бакалавриат (3++),"Очная 4 года, заочная 4 года 11 месяцев",Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика ,  Химия , ","Теоретические основы энергетики ,  Энергетические установки и оборудование ,  Русский язык , ","Краткое содержание образовательной программы. Теплоэнергетика является неотъемлемой частью энергетического комплекса, обеспечивающего энергетическую независимость государства.Обучение в рамках образовательной программы обеспечивает развитие и приобретение компетенций в сфере проектирования, монтажа и обслуживания промышленного  тепломассообменного оборудования; систем промышленного воздухоснабжения и холодоснабжения; систем вентиляции, кондиционирования и отопления; тепловых сетей; установок, систем и комплексов высокотемпературной и низкотемпературной теплотехнологии; энергетических блоков, парогазовых и газотурбинных установок; установок по производству сжатых и сжиженных газов; систем диагностики и автоматизированного управления технологическими процессами в теплоэнергетике и теплотехнике.Места практик и трудоустройство. Образовательная программа предусматривает прохождение студентами учебной, производственной и преддипломной практики.Регулярное прохождение практики и успешное освоение образовательной программы способствует трудоустройству выпускников на промышленные предприятия города, региона и всей страны.",130,155,120,Нет информации о минимальном количестве баллов,120,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/pt-3%2B%2B/
Электромеханика,13.03.02,Бакалавриат (3++),очная форма - 4 года,Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика ,  Химия , ","Теоретические основы энергетики ,  Энергетические установки и оборудование ,  Русский язык , ","Краткое содержание образовательной программы. Электромеханика – наука о взаимном преобразовании электрической и механической энергии.Выпускники бакалавриата по профилю «Электромеханика» за время обучения приобретают профессиональные компетенции в сфере проектирования, исследования, эксплуатации и сервисного обслуживания различных электромеханических преобразователей общепромышленного и специального назначения.Места практик и трудоустройство. Образовательная программа предусматривает прохождение студентами учебной, производственной и преддипломной практики.Успешное освоение образовательной программы способствует трудоустройству наших выпускников, они находят применение своим знаниям и навыкам на электромашиностроительных заводах, в электроцехах предприятий различных отраслей промышленности и сельского хозяйства, на предприятиях по ремонту, обслуживанию и продаже промышленной электроаппаратуры.",122,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/em-3%2B%2B/
Электропривод и автоматика,13.03.02,Бакалавриат (3++),"очная форма –    4 года,            заочная форма – 4 года 11 месяцев",Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика ,  Химия , ","Теоретические основы энергетики ,  Энергетические установки и оборудование ,  Русский язык , ","Краткое содержание образовательной программы Электрический привод является основой современного производства.Основные дисциплины. Теория электропривода Электрический привод Моделирование и исследование электроприводов Компьютерная и микропроцессорная техника исследовании и управлении электроприводами Теория автоматического управления Электрические и электронные аппараты. Места практик и трудоустройство Образовательная программа предусматривает прохождение студентами учебной, производственной и преддипломной практики.Студенты проходят практику на таких предприятиях как ЗАО «МЭЛ», ЗАО «Орбита», ЗАО «НИИ Механотроники-Альфа-НЦ», на других предприятиях города и области.Областью трудоустройства и профессиональной деятельности выпускников являются практически все производственные предприятия промышленности, стройиндустрии, АПК и ЖКХ.",120,120,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,155,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/epa-3%2B%2B/
Электроснабжение,13.03.02,Бакалавриат (3++),"очная форма - 4 года, заочная форма - 4 года 11 месяцев",Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика ,  Химия , ","Теоретические основы энергетики ,  Энергетические установки и оборудование ,  Русский язык , ","Краткое содержание образовательной программы. Обучение в рамках образовательной программы обеспечивает развитие и приобретение компетенций в сфере проектирования систем электроснабжения различных объектов промышленного и непромышленного назначения; расчета и анализа режимов работы электроэнергетических систем, определения и обеспечения их эффективных режимов; монтажа, наладки и эксплуатации электрооборудования, а также организации обслуживания и ремонта электрооборудования систем электроснабжения.Помимо этого образовательная программа дает возможность освоить компетенции в области энергосбережения и повышения энергоэффективности при производстве, передачи, распределении и потреблении электрической энергии.Места практик и трудоустройство. Образовательная программа предусматривает прохождение студентами учебной, производственной и преддипломной практик.Регулярное прохождение практики и успешное освоение образовательной программы способствует трудоустройству выпускников в энергохозяйства предприятий и организаций Воронежской области, центрального региона и всей страны.",135,150,Нет информации о минимальном количестве баллов,125,125,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/es-3%2B%2B/
Техника и физика низких температур,14.03.01,Бакалавриат (3++),Очная - 4 года,Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика , ","Теоретические основы энергетики ,  Энергетические установки и оборудование ,  Русский язык , ","на новое направлениеСПО, получивших диплом о среднем профессиональном образовании, осуществляется по результатам внутренних экзаменов в вузе:Выпускники могут осуществлять профессиональную деятельность в следующих сферах:атомная промышленность и энергетика (цехи вентиляции и кондиционирования воздуха, пусконаладочные работы при вводе в эксплуатацию систем холодоснабжения) электронная промышленность (системы охлаждения устройств электронной техники) металлургия и химическая промышленность (получение азота, кислорода и инертных газов из воздуха методом криогенной ректификации, производство синтетического каучука) пищевая промышленность (проектирование промышленных холодильных камер, камер шоковой заморозки и т. ) нефтегазовая промышленность (получение, хранение и транспортировка сжиженного природного газа) космонавтика (получение, хранение и транспортировка жидкого водорода, криогенное обеспечение испытательных стендов жидкостных ракетных двигателей) медицина и здравоохранение (разработка систем охлаждения аппаратов для криотерапии и. МРТ) создания и поддержания микроклимата (традиционные и термоэлектрические кондиционеры)Наши выпускники востребованы на крупных предприятиях. ",Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/tfnt-3/
"Холодильная, криогенная техника и системы жизнеобеспечения",14.03.01,Бакалавриат (3++),Очная - 4 года,Бюджетные и контрактные места,"Математика ,  Русский язык , ","Физика ,  Информатика , ","Теоретические основы энергетики ,  Энергетические установки и оборудование ,  Русский язык , ","Зачисление выпускников школ после 11 класса осуществляется на конкурсной основе по результатам ЕГЭ по трем обязательным учебным предметам:Зачисление выпускников СПО, получивших диплом о среднем профессиональном образовании, осуществляется по результатам внутренних экзаменов в вузе:Выпускники могут осуществлять профессиональную деятельность в следующих сферах:атомная промышленность и энергетика (цехи вентиляции и кондиционирования воздуха, пусконаладочные работы при вводе в эксплуатацию систем холодоснабжения) электронная промышленность (системы охлаждения устройств электронной техники) металлургия и химическая промышленность (получение азота, кислорода и инертных газов из воздуха методом криогенной ректификации, производство синтетического каучука) пищевая промышленность (проектирование промышленных холодильных камер, камер шоковой заморозки и т.п.) нефтегазовая промышленность (получение, хранение и транспортировка сжиженного природного газа) космонавтика (получение, хранение и транспортировка жидкого водорода, криогенное обеспечение испытательных стендов жидкостных ракетных двигателей) медицина и здравоохранение (разработка систем охлаждения аппаратов для криотерапии и МРТ) создания и поддержания микроклимата (традиционные и термоэлектрические кондиционеры)Наши выпускники востребованы на крупных предприятиях Центрально-Черноземного региона:Основные работодатели на карте Воронежа",142,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,Нет информации о минимальном количестве баллов,https://cchgeu.ru/education/programms/140301/
